id,row_no,avg_period,date_from,time_from,full_csv_parsed,station,date_to,time_to,parameter,file_path
255,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,PM 2.5(PM2.5),/home/thej/code/cpcb/data/raw/2015_BTM_2/pm25.csv
256,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2015_BTM_2/nox.csv
257,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Bar Pressure(Bar Pressure),/home/thej/code/cpcb/data/raw/2015_BTM_2/pressure.csv
258,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Ethyl Benzene(Ethyl Benzene),/home/thej/code/cpcb/data/raw/2015_BTM_2/ethyl.csv
259,19,4 Hours,01/05/2015,12:00 AM,1,BTM,31/08/2015,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2015_BTM_2/no2.csv
260,19,4 Hours,01/05/2016,12:00 AM,1,BWSSB,31/08/2016,11:45 PM,Temperature(Temp),/home/thej/code/cpcb/data/raw/2016_BWSSB_2/temp.csv
261,19,4 Hours,01/05/2016,12:00 AM,1,BWSSB,31/08/2016,11:45 PM,Benzene(Benzene),/home/thej/code/cpcb/data/raw/2016_BWSSB_2/benzene.csv
262,19,4 Hours,01/05/2016,12:00 AM,1,BWSSB,31/08/2016,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2016_BWSSB_2/no.csv
263,19,4 Hours,01/05/2016,12:00 AM,1,BWSSB,31/08/2016,11:45 PM,Relative Humidity(RH),/home/thej/code/cpcb/data/raw/2016_BWSSB_2/rh.csv
264,19,4 Hours,01/05/2016,12:00 AM,1,BWSSB,31/08/2016,11:45 PM,Toluene(Toluene),/home/thej/code/cpcb/data/raw/2016_BWSSB_2/toluene.csv
265,19,4 Hours,01/05/2016,12:00 AM,1,BWSSB,31/08/2016,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2016_BWSSB_2/so2.csv
266,19,4 Hours,01/05/2016,12:00 AM,1,BWSSB,31/08/2016,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2016_BWSSB_2/co.csv
